Battery discharge Test @ 2.5
Time (ms), Voltage (V), Current (A)
578672, 3.7432, 0.6676
579179, 3.7430, 0.6676
579686, 3.7427, 0.6677
580193, 3.7425, 0.6677
580700, 3.7423, 0.6677
581207, 3.7421, 0.6678
581714, 3.7419, 0.6678
582221, 3.7417, 0.6678
582728, 3.7415, 0.6679
583235, 3.7413, 0.6679
583743, 3.7411, 0.6680
584257, 3.7409, 0.6680
584765, 3.7406, 0.6680
585272, 3.7404, 0.6681
585779, 3.7402, 0.6681
586286, 3.7399, 0.6682
586793, 3.7398, 0.6682
587300, 3.7396, 0.6682
587807, 3.7395, 0.6683
588314, 3.7392, 0.6683
588831, 3.7390, 0.6683
589338, 3.7388, 0.6683
589845, 3.7385, 0.6684
590352, 3.7383, 0.6684
590859, 3.7381, 0.6685
591366, 3.7379, 0.6685
591873, 3.7378, 0.6685
592380, 3.7376, 0.6686
592887, 3.7373, 0.6686
593394, 3.7371, 0.6686
593901, 3.7369, 0.6687
594408, 3.7367, 0.6687
594915, 3.7365, 0.6688
595423, 3.7362, 0.6688
595930, 3.7361, 0.6688
596437, 3.7360, 0.6689
596944, 3.7357, 0.6689
597451, 3.7355, 0.6689
597958, 3.7354, 0.6690
598465, 3.7351, 0.6690
598972, 3.7349, 0.6691
599479, 3.7347, 0.6691
599986, 3.7345, 0.6691
600493, 3.7343, 0.6691
601008, 3.7340, 0.6692
601516, 3.7338, 0.6692
602023, 3.7337, 0.6693
602530, 3.7334, 0.6693
603037, 3.7333, 0.6693
603544, 3.7332, 0.6694
604051, 3.7329, 0.6694
604558, 3.7327, 0.6694
605065, 3.7326, 0.6695
605572, 3.7323, 0.6695
606079, 3.7320, 0.6695
606592, 3.7318, 0.6696
607099, 3.7316, 0.6696
607607, 3.7314, 0.6696
608114, 3.7312, 0.6697
608621, 3.7310, 0.6697
609128, 3.7308, 0.6697
609635, 3.7307, 0.6698
610142, 3.7305, 0.6698
610649, 3.7303, 0.6699
611156, 3.7301, 0.6699
611663, 3.7299, 0.6699
612175, 3.7296, 0.6700
612683, 3.7294, 0.6700
613190, 3.7292, 0.6700
613697, 3.7290, 0.6701
614215, 3.7288, 0.6701
614722, 3.7286, 0.6702
615229, 3.7284, 0.6702
615736, 3.7282, 0.6702
616243, 3.7281, 0.6703
616750, 3.7278, 0.6703
617257, 3.7277, 0.6703
617764, 3.7275, 0.6704
618272, 3.7272, 0.6704
618779, 3.7271, 0.6704
619286, 3.7268, 0.6705
619793, 3.7266, 0.6705
620300, 3.7264, 0.6705
620807, 3.7262, 0.6706
621314, 3.7261, 0.6706
621821, 3.7260, 0.6706
622328, 3.7258, 0.6707
622835, 3.7256, 0.6707
623344, 3.7254, 0.6707
623851, 3.7252, 0.6708
624359, 3.7249, 0.6708
624866, 3.7247, 0.6709
625373, 3.7245, 0.6709
625880, 3.7243, 0.6709
626387, 3.7242, 0.6710
626894, 3.7241, 0.6710
627401, 3.7239, 0.6710
627908, 3.7236, 0.6710
628415, 3.7235, 0.6711
628928, 3.7232, 0.6711
629435, 3.7231, 0.6712
629942, 3.7228, 0.6712
630449, 3.7225, 0.6712
630956, 3.7224, 0.6713
631463, 3.7222, 0.6713
631970, 3.7220, 0.6714
632477, 3.7219, 0.6714
632984, 3.7217, 0.6714
633491, 3.7214, 0.6715
633998, 3.7213, 0.6715
634512, 3.7211, 0.6715
635019, 3.7209, 0.6715
635526, 3.7207, 0.6716
636034, 3.7205, 0.6716
636541, 3.7203, 0.6716
637048, 3.7201, 0.6717
637555, 3.7199, 0.6717
638062, 3.7197, 0.6718
638569, 3.7195, 0.6718
639076, 3.7193, 0.6718
639583, 3.7191, 0.6719
640101, 3.7189, 0.6719
640608, 3.7188, 0.6720
641115, 3.7186, 0.6720
641622, 3.7183, 0.6720
642129, 3.7183, 0.6721
642636, 3.7181, 0.6721
643143, 3.7179, 0.6721
643650, 3.7177, 0.6722
644157, 3.7175, 0.6722
644664, 3.7172, 0.6722
645171, 3.7171, 0.6723
645681, 3.7167, 0.6723
646189, 3.7165, 0.6724
646696, 3.7163, 0.6724
647203, 3.7160, 0.6725
647710, 3.7159, 0.6725
648217, 3.7157, 0.6725
648724, 3.7154, 0.6726
649231, 3.7153, 0.6726
649738, 3.7152, 0.6726
650244, 3.7150, 0.6727
650752, 3.7147, 0.6727
651266, 3.7145, 0.6728
651773, 3.7143, 0.6728
652280, 3.7142, 0.6728
652787, 3.7140, 0.6729
653295, 3.7138, 0.6729
653802, 3.7136, 0.6729
654309, 3.7135, 0.6730
654816, 3.7133, 0.6730
655323, 3.7132, 0.6730
655830, 3.7129, 0.6731
656337, 3.7127, 0.6731
656851, 3.7124, 0.6732
657359, 3.7122, 0.6732
657866, 3.7121, 0.6732
658373, 3.7118, 0.6733
658880, 3.7118, 0.6733
659387, 3.7116, 0.6733
659894, 3.7114, 0.6734
660401, 3.7112, 0.6734
660908, 3.7111, 0.6734
661414, 3.7108, 0.6735
661922, 3.7106, 0.6735
662437, 3.7103, 0.6736
662944, 3.7101, 0.6736
663450, 3.7100, 0.6736
663958, 3.7097, 0.6737
664465, 3.7096, 0.6737
664972, 3.7095, 0.6737
665489, 3.7093, 0.6738
665996, 3.7092, 0.6738
666502, 3.7090, 0.6738
667010, 3.7088, 0.6739
667517, 3.7086, 0.6739
668024, 3.7084, 0.6739
668531, 3.7082, 0.6740
669038, 3.7081, 0.6740
669545, 3.7077, 0.6741
670051, 3.7076, 0.6741
670558, 3.7075, 0.6741
671066, 3.7072, 0.6742
671574, 3.7070, 0.6742
672082, 3.7069, 0.6742
672589, 3.7066, 0.6742
673096, 3.7064, 0.6743
673608, 3.7062, 0.6743
674115, 3.7061, 0.6744
674622, 3.7059, 0.6744
675129, 3.7057, 0.6744
675636, 3.7055, 0.6745
676143, 3.7053, 0.6745
676650, 3.7051, 0.6745
677157, 3.7050, 0.6746
677664, 3.7048, 0.6746
678171, 3.7046, 0.6746
678678, 3.7044, 0.6747
679192, 3.7041, 0.6747
679700, 3.7040, 0.6747
680207, 3.7039, 0.6748
680714, 3.7036, 0.6748
681221, 3.7035, 0.6748
681728, 3.7034, 0.6749
682235, 3.7032, 0.6749
682742, 3.7030, 0.6749
683249, 3.7029, 0.6750
683756, 3.7028, 0.6750
684263, 3.7026, 0.6750
684777, 3.7024, 0.6750
685284, 3.7023, 0.6751
685791, 3.7022, 0.6751
686298, 3.7019, 0.6751
686805, 3.7017, 0.6752
687312, 3.7015, 0.6752
687819, 3.7012, 0.6753
688327, 3.7010, 0.6753
688834, 3.7008, 0.6753
689341, 3.7005, 0.6754
689848, 3.7005, 0.6754
690363, 3.7002, 0.6754
690881, 3.7000, 0.6755
691388, 3.6999, 0.6755
691895, 3.6996, 0.6755
692402, 3.6994, 0.6756
692909, 3.6993, 0.6756
693416, 3.6990, 0.6757
693923, 3.6988, 0.6757
694430, 3.6987, 0.6757
694937, 3.6984, 0.6757
695444, 3.6983, 0.6758
695951, 3.6981, 0.6758
696458, 3.6980, 0.6758
696965, 3.6978, 0.6758
697472, 3.6976, 0.6759
697979, 3.6975, 0.6759
698486, 3.6974, 0.6759
698993, 3.6972, 0.6760
699500, 3.6970, 0.6760
700007, 3.6969, 0.6760
700514, 3.6967, 0.6760
701021, 3.6966, 0.6761
701533, 3.6963, 0.6761
702041, 3.6962, 0.6761
702548, 3.6960, 0.6762
703055, 3.6957, 0.6762
703562, 3.6956, 0.6762
704069, 3.6955, 0.6763
704576, 3.6952, 0.6763
705083, 3.6951, 0.6764
705590, 3.6950, 0.6764
706098, 3.6946, 0.6764
706605, 3.6945, 0.6765
707120, 3.6943, 0.6765
707627, 3.6942, 0.6765
708134, 3.6940, 0.6765
708641, 3.6939, 0.6766
709148, 3.6937, 0.6766
709655, 3.6936, 0.6766
710162, 3.6933, 0.6767
710669, 3.6932, 0.6767
711176, 3.6929, 0.6767
711683, 3.6927, 0.6768
712190, 3.6925, 0.6768
712705, 3.6922, 0.6769
713212, 3.6921, 0.6769
713719, 3.6919, 0.6769
714226, 3.6917, 0.6769
714733, 3.6916, 0.6770
715240, 3.6914, 0.6770
715747, 3.6912, 0.6770
716254, 3.6910, 0.6771
716772, 3.6909, 0.6771
717279, 3.6906, 0.6771
717786, 3.6904, 0.6772
718293, 3.6903, 0.6772
718800, 3.6902, 0.6772
719307, 3.6900, 0.6772
719814, 3.6898, 0.6773
720321, 3.6897, 0.6773
720828, 3.6896, 0.6773
721335, 3.6893, 0.6774
721842, 3.6891, 0.6774
722349, 3.6890, 0.6774
722856, 3.6887, 0.6775
723364, 3.6886, 0.6775
723876, 3.6885, 0.6775
724383, 3.6883, 0.6776
724890, 3.6882, 0.6776
725397, 3.6880, 0.6776
725904, 3.6880, 0.6776
726411, 3.6878, 0.6776
726918, 3.6875, 0.6777
727425, 3.6874, 0.6777
727932, 3.6873, 0.6777
728439, 3.6870, 0.6778
728946, 3.6868, 0.6778
729461, 3.6867, 0.6778
729969, 3.6865, 0.6779
730476, 3.6864, 0.6779
730983, 3.6862, 0.6779
731490, 3.6861, 0.6780
731997, 3.6860, 0.6780
732504, 3.6857, 0.6780
733011, 3.6856, 0.6780
733518, 3.6855, 0.6781
734025, 3.6852, 0.6781
734532, 3.6850, 0.6781
735046, 3.6848, 0.6782
735554, 3.6846, 0.6782
736061, 3.6844, 0.6782
736568, 3.6842, 0.6783
737075, 3.6840, 0.6783
737582, 3.6839, 0.6784
738089, 3.6837, 0.6784
738596, 3.6834, 0.6784
739103, 3.6832, 0.6784
739610, 3.6831, 0.6785
740117, 3.6830, 0.6785
740632, 3.6827, 0.6786
741140, 3.6826, 0.6786
741647, 3.6825, 0.6786
742165, 3.6823, 0.6786
742672, 3.6822, 0.6787
743179, 3.6820, 0.6787
743686, 3.6819, 0.6787
744193, 3.6818, 0.6787
744700, 3.6816, 0.6788
745207, 3.6814, 0.6788
745714, 3.6813, 0.6788
746221, 3.6810, 0.6789
746728, 3.6809, 0.6789
747235, 3.6808, 0.6790
747742, 3.6804, 0.6790
748249, 3.6803, 0.6790
748756, 3.6802, 0.6791
749263, 3.6800, 0.6791
749770, 3.6799, 0.6791
750277, 3.6797, 0.6791
750784, 3.6796, 0.6792
751291, 3.6794, 0.6792
751801, 3.6792, 0.6792
752308, 3.6791, 0.6793
752815, 3.6789, 0.6793
753322, 3.6786, 0.6794
753829, 3.6785, 0.6794
754336, 3.6784, 0.6794
754843, 3.6783, 0.6794
755350, 3.6781, 0.6795
755857, 3.6780, 0.6795
756364, 3.6779, 0.6795
756871, 3.6777, 0.6795
757386, 3.6774, 0.6796
757893, 3.6773, 0.6796
758401, 3.6771, 0.6796
758908, 3.6768, 0.6797
759415, 3.6767, 0.6797
759922, 3.6766, 0.6797
760429, 3.6764, 0.6798
760936, 3.6762, 0.6798
761443, 3.6761, 0.6798
761950, 3.6760, 0.6799
762457, 3.6758, 0.6799
762971, 3.6756, 0.6799
763478, 3.6755, 0.6800
763985, 3.6755, 0.6800
764492, 3.6752, 0.6800
764999, 3.6750, 0.6801
765506, 3.6749, 0.6801
766013, 3.6747, 0.6801
766520, 3.6745, 0.6802
767027, 3.6744, 0.6802
767534, 3.6742, 0.6802
768052, 3.6740, 0.6802
768559, 3.6738, 0.6803
769066, 3.6737, 0.6803
769573, 3.6736, 0.6803
770080, 3.6734, 0.6804
770587, 3.6732, 0.6804
771094, 3.6731, 0.6804
771601, 3.6730, 0.6804
772108, 3.6729, 0.6805
772615, 3.6727, 0.6805
773122, 3.6725, 0.6805
773629, 3.6724, 0.6805
774141, 3.6722, 0.6806
774648, 3.6720, 0.6806
775155, 3.6719, 0.6806
775663, 3.6716, 0.6807
776170, 3.6715, 0.6807
776677, 3.6713, 0.6807
777184, 3.6712, 0.6808
777691, 3.6711, 0.6808
778198, 3.6709, 0.6808
778705, 3.6707, 0.6809
779212, 3.6707, 0.6809
779727, 3.6704, 0.6809
780234, 3.6702, 0.6810
780741, 3.6702, 0.6810
781248, 3.6699, 0.6810
781755, 3.6697, 0.6810
782262, 3.6696, 0.6811
782769, 3.6694, 0.6811
783276, 3.6692, 0.6811
783783, 3.6691, 0.6812
784290, 3.6689, 0.6812
784797, 3.6688, 0.6812
785312, 3.6686, 0.6813
785820, 3.6684, 0.6813
786327, 3.6683, 0.6813
786834, 3.6680, 0.6814
787341, 3.6679, 0.6814
787848, 3.6678, 0.6814
788355, 3.6676, 0.6814
788862, 3.6675, 0.6815
789369, 3.6675, 0.6815
789876, 3.6672, 0.6815
790383, 3.6672, 0.6815
790897, 3.6668, 0.6816
791405, 3.6667, 0.6816
791912, 3.6666, 0.6816
792419, 3.6663, 0.6817
792926, 3.6661, 0.6817
793445, 3.6660, 0.6817
793952, 3.6658, 0.6818
794459, 3.6657, 0.6818
794966, 3.6656, 0.6818
795473, 3.6654, 0.6818
795980, 3.6653, 0.6819
796487, 3.6651, 0.6819
796994, 3.6649, 0.6819
797501, 3.6648, 0.6819
798008, 3.6647, 0.6820
798515, 3.6645, 0.6820
799022, 3.6643, 0.6820
799529, 3.6642, 0.6821
800036, 3.6641, 0.6821
800543, 3.6639, 0.6821
801050, 3.6638, 0.6821
801557, 3.6636, 0.6822
802070, 3.6635, 0.6822
802577, 3.6634, 0.6822
803084, 3.6633, 0.6822
803591, 3.6630, 0.6823
804098, 3.6630, 0.6823
804605, 3.6627, 0.6823
805112, 3.6625, 0.6824
805619, 3.6624, 0.6824
806126, 3.6623, 0.6824
806633, 3.6621, 0.6824
807140, 3.6620, 0.6825
807655, 3.6619, 0.6825
808163, 3.6618, 0.6825
808670, 3.6617, 0.6825
809177, 3.6616, 0.6825
809684, 3.6614, 0.6826
810191, 3.6612, 0.6826
810699, 3.6610, 0.6826
811206, 3.6608, 0.6827
811713, 3.6607, 0.6827
812220, 3.6605, 0.6827
812727, 3.6603, 0.6828
813242, 3.6601, 0.6828
813749, 3.6600, 0.6828
814256, 3.6600, 0.6828
814763, 3.6599, 0.6829
815270, 3.6598, 0.6829
815777, 3.6596, 0.6829
816284, 3.6595, 0.6829
816791, 3.6595, 0.6829
817298, 3.6593, 0.6830
817805, 3.6590, 0.6830
818312, 3.6589, 0.6830
818828, 3.6587, 0.6831
819346, 3.6586, 0.6831
819853, 3.6584, 0.6831
820360, 3.6582, 0.6832
820867, 3.6580, 0.6832
821374, 3.6579, 0.6832
821881, 3.6577, 0.6833
822388, 3.6576, 0.6833
822895, 3.6574, 0.6833
823402, 3.6573, 0.6833
823909, 3.6572, 0.6834
824416, 3.6571, 0.6834
824923, 3.6570, 0.6834
825430, 3.6569, 0.6834
825937, 3.6567, 0.6834
826444, 3.6566, 0.6835
826951, 3.6565, 0.6835
827458, 3.6563, 0.6835
827965, 3.6561, 0.6835
828473, 3.6560, 0.6836
828980, 3.6558, 0.6836
829487, 3.6556, 0.6836
830000, 3.6553, 0.6837
830507, 3.6553, 0.6837
831014, 3.6552, 0.6837
831521, 3.6550, 0.6838
832028, 3.6549, 0.6838
832535, 3.6547, 0.6838
833042, 3.6547, 0.6838
833549, 3.6547, 0.6838
834056, 3.6545, 0.6839
834563, 3.6543, 0.6839
835070, 3.6541, 0.6839
835585, 3.6541, 0.6840
836093, 3.6539, 0.6840
836600, 3.6539, 0.6840
837107, 3.6537, 0.6840
837614, 3.6535, 0.6841
838121, 3.6535, 0.6841
838628, 3.6533, 0.6841
839135, 3.6532, 0.6841
839642, 3.6531, 0.6841
840149, 3.6529, 0.6842
840656, 3.6528, 0.6842
841171, 3.6526, 0.6842
841678, 3.6524, 0.6842
842185, 3.6523, 0.6843
842692, 3.6521, 0.6843
843199, 3.6520, 0.6843
843706, 3.6519, 0.6843
844213, 3.6517, 0.6844
844731, 3.6517, 0.6844
845238, 3.6516, 0.6844
845746, 3.6514, 0.6845
846253, 3.6513, 0.6845
846759, 3.6512, 0.6845
847267, 3.6511, 0.6845
847774, 3.6510, 0.6845
848281, 3.6508, 0.6846
848788, 3.6507, 0.6846
849295, 3.6506, 0.6846
849802, 3.6504, 0.6847
850309, 3.6502, 0.6847
850816, 3.6500, 0.6847
851323, 3.6499, 0.6848
851830, 3.6497, 0.6848
852342, 3.6495, 0.6848
852850, 3.6494, 0.6848
853357, 3.6494, 0.6848
853864, 3.6493, 0.6849
854371, 3.6492, 0.6849
854878, 3.6491, 0.6849
855385, 3.6489, 0.6849
855892, 3.6488, 0.6850
856399, 3.6488, 0.6850
856906, 3.6486, 0.6850
857413, 3.6485, 0.6850
857928, 3.6485, 0.6850
858435, 3.6484, 0.6850
858942, 3.6483, 0.6850
859449, 3.6482, 0.6851
859956, 3.6480, 0.6851
860463, 3.6479, 0.6851
860970, 3.6477, 0.6851
861477, 3.6476, 0.6852
861984, 3.6474, 0.6852
862491, 3.6472, 0.6853
862998, 3.6471, 0.6853
863515, 3.6470, 0.6853
864022, 3.6469, 0.6853
864529, 3.6468, 0.6853
865036, 3.6467, 0.6854
865543, 3.6465, 0.6854
866050, 3.6464, 0.6854
866557, 3.6464, 0.6854
867064, 3.6463, 0.6854
867571, 3.6462, 0.6855
868078, 3.6459, 0.6855
868585, 3.6458, 0.6855
869100, 3.6457, 0.6855
869607, 3.6456, 0.6855
870114, 3.6455, 0.6856
870632, 3.6453, 0.6856
871139, 3.6452, 0.6856
871646, 3.6452, 0.6856
872153, 3.6450, 0.6856
872659, 3.6448, 0.6857
873167, 3.6447, 0.6857
873674, 3.6446, 0.6857
874181, 3.6445, 0.6857
874687, 3.6444, 0.6858
875195, 3.6443, 0.6858
875702, 3.6442, 0.6858
876209, 3.6441, 0.6858
876716, 3.6440, 0.6858
877223, 3.6440, 0.6859
877730, 3.6438, 0.6859
878237, 3.6437, 0.6859
878744, 3.6436, 0.6859
879251, 3.6435, 0.6859
879758, 3.6434, 0.6859
880270, 3.6433, 0.6860
880779, 3.6432, 0.6860
881286, 3.6430, 0.6860
881793, 3.6428, 0.6861
882300, 3.6428, 0.6861
882807, 3.6427, 0.6861
883314, 3.6424, 0.6861
883821, 3.6423, 0.6862
884328, 3.6422, 0.6862
884835, 3.6422, 0.6862
885342, 3.6421, 0.6862
885856, 3.6420, 0.6862
886363, 3.6419, 0.6862
886870, 3.6418, 0.6863
887377, 3.6417, 0.6863
887884, 3.6416, 0.6863
888391, 3.6415, 0.6863
888898, 3.6413, 0.6863
889405, 3.6411, 0.6864
889912, 3.6410, 0.6864
890419, 3.6409, 0.6864
890926, 3.6408, 0.6864
891441, 3.6406, 0.6865
891948, 3.6405, 0.6865
892455, 3.6404, 0.6865
892962, 3.6403, 0.6865
893469, 3.6402, 0.6865
893976, 3.6401, 0.6866
894483, 3.6399, 0.6866
894990, 3.6398, 0.6866
895497, 3.6397, 0.6866
896015, 3.6396, 0.6866
896522, 3.6396, 0.6867
897029, 3.6394, 0.6867
897536, 3.6393, 0.6867
898044, 3.6392, 0.6867
898550, 3.6392, 0.6867
899058, 3.6392, 0.6867
899565, 3.6390, 0.6868
900072, 3.6388, 0.6868
900579, 3.6387, 0.6868
901086, 3.6386, 0.6868
901593, 3.6385, 0.6869
902100, 3.6384, 0.6869
902611, 3.6382, 0.6869
903119, 3.6381, 0.6869
903626, 3.6381, 0.6869
904133, 3.6380, 0.6870
904640, 3.6379, 0.6870
905147, 3.6378, 0.6870
905654, 3.6377, 0.6870
906161, 3.6375, 0.6871
906668, 3.6375, 0.6871
907175, 3.6374, 0.6871
907682, 3.6373, 0.6871
908196, 3.6371, 0.6871
908703, 3.6370, 0.6872
909209, 3.6369, 0.6872
909717, 3.6367, 0.6872
910224, 3.6366, 0.6872
910731, 3.6364, 0.6873
911238, 3.6363, 0.6873
911745, 3.6362, 0.6873
912252, 3.6361, 0.6873
912759, 3.6360, 0.6873
913266, 3.6359, 0.6874
913780, 3.6357, 0.6874
914287, 3.6357, 0.6874
914794, 3.6356, 0.6874
915301, 3.6354, 0.6875
915809, 3.6352, 0.6875
916316, 3.6351, 0.6875
916823, 3.6351, 0.6875
917330, 3.6351, 0.6875
917837, 3.6350, 0.6875
918344, 3.6349, 0.6876
918851, 3.6348, 0.6876
919365, 3.6347, 0.6876
919873, 3.6346, 0.6876
920380, 3.6345, 0.6876
920887, 3.6344, 0.6877
921394, 3.6343, 0.6877
921912, 3.6342, 0.6877
922419, 3.6339, 0.6877
922926, 3.6338, 0.6878
923433, 3.6337, 0.6878
923940, 3.6335, 0.6878
924447, 3.6334, 0.6878
924954, 3.6333, 0.6879
925461, 3.6333, 0.6879
925968, 3.6332, 0.6879
926475, 3.6332, 0.6879
926982, 3.6331, 0.6879
927489, 3.6331, 0.6879
927996, 3.6329, 0.6879
928503, 3.6328, 0.6880
929010, 3.6327, 0.6880
929517, 3.6325, 0.6880
930024, 3.6324, 0.6880
930533, 3.6322, 0.6881
931040, 3.6321, 0.6881
931547, 3.6321, 0.6881
932054, 3.6319, 0.6881
932561, 3.6318, 0.6882
933069, 3.6317, 0.6882
933576, 3.6315, 0.6882
934083, 3.6315, 0.6882
934590, 3.6314, 0.6882
935097, 3.6312, 0.6882
935604, 3.6311, 0.6883
936118, 3.6309, 0.6883
936625, 3.6309, 0.6883
937132, 3.6308, 0.6883
937639, 3.6306, 0.6884
938146, 3.6305, 0.6884
938653, 3.6304, 0.6884
939160, 3.6303, 0.6884
939667, 3.6303, 0.6884
940174, 3.6302, 0.6885
940681, 3.6300, 0.6885
941188, 3.6298, 0.6885
941701, 3.6296, 0.6886
942208, 3.6295, 0.6886
942715, 3.6293, 0.6886
943222, 3.6292, 0.6887
943729, 3.6291, 0.6887
944236, 3.6291, 0.6887
944743, 3.6289, 0.6887
945250, 3.6288, 0.6887
945757, 3.6288, 0.6887
946264, 3.6287, 0.6887
946771, 3.6286, 0.6888
947289, 3.6285, 0.6888
947796, 3.6285, 0.6888
948303, 3.6285, 0.6888
948810, 3.6283, 0.6888
949317, 3.6282, 0.6888
949824, 3.6281, 0.6888
950331, 3.6280, 0.6889
950838, 3.6279, 0.6889
951346, 3.6278, 0.6889
951853, 3.6277, 0.6889
952360, 3.6275, 0.6890
952869, 3.6274, 0.6890
953377, 3.6273, 0.6890
953884, 3.6272, 0.6890
954391, 3.6271, 0.6890
954898, 3.6269, 0.6891
955405, 3.6268, 0.6891
955912, 3.6267, 0.6891
956419, 3.6266, 0.6891
956926, 3.6265, 0.6891
957433, 3.6264, 0.6892
957940, 3.6263, 0.6892
958452, 3.6262, 0.6892
958959, 3.6261, 0.6892
959466, 3.6260, 0.6893
959973, 3.6258, 0.6893
960480, 3.6256, 0.6893
960987, 3.6255, 0.6893
961494, 3.6253, 0.6894
962001, 3.6251, 0.6894
962508, 3.6250, 0.6894
963015, 3.6250, 0.6895
963522, 3.6249, 0.6895
964035, 3.6248, 0.6895
964542, 3.6247, 0.6895
965049, 3.6246, 0.6895
965555, 3.6245, 0.6895
966063, 3.6244, 0.6896
966570, 3.6243, 0.6896
967077, 3.6240, 0.6896
967584, 3.6239, 0.6896
968092, 3.6239, 0.6896
968599, 3.6238, 0.6897
969106, 3.6237, 0.6897
969618, 3.6235, 0.6897
970126, 3.6234, 0.6897
970632, 3.6233, 0.6898
971140, 3.6232, 0.6898
971647, 3.6230, 0.6898
972154, 3.6229, 0.6898
972661, 3.6228, 0.6899
973179, 3.6226, 0.6899
973686, 3.6226, 0.6899
974193, 3.6224, 0.6899
974700, 3.6223, 0.6899
975207, 3.6222, 0.6900
975714, 3.6221, 0.6900
976221, 3.6220, 0.6900
976728, 3.6220, 0.6900
977235, 3.6219, 0.6900
977742, 3.6218, 0.6900
978249, 3.6216, 0.6901
978756, 3.6215, 0.6901
979263, 3.6214, 0.6901
979770, 3.6213, 0.6901
980277, 3.6211, 0.6902
980784, 3.6210, 0.6902
981291, 3.6208, 0.6902
981798, 3.6208, 0.6902
982305, 3.6206, 0.6903
982812, 3.6206, 0.6903
983319, 3.6205, 0.6903
983826, 3.6203, 0.6903
984333, 3.6202, 0.6903
984840, 3.6201, 0.6904
985347, 3.6200, 0.6904
985855, 3.6198, 0.6904
986367, 3.6196, 0.6904
986874, 3.6195, 0.6905
987381, 3.6193, 0.6905
987888, 3.6192, 0.6905
988395, 3.6190, 0.6906
988902, 3.6190, 0.6906
989409, 3.6188, 0.6906
989916, 3.6187, 0.6906
990423, 3.6187, 0.6906
990930, 3.6185, 0.6907
991437, 3.6184, 0.6907
991950, 3.6183, 0.6907
992457, 3.6182, 0.6907
992964, 3.6181, 0.6907
993471, 3.6179, 0.6908
993978, 3.6179, 0.6908
994485, 3.6178, 0.6908
994992, 3.6177, 0.6908
995499, 3.6175, 0.6908
996006, 3.6174, 0.6909
996513, 3.6172, 0.6909
997020, 3.6172, 0.6909
997532, 3.6169, 0.6910
998040, 3.6168, 0.6910
998558, 3.6167, 0.6910
999065, 3.6165, 0.6911
999572, 3.6164, 0.6911
1000079, 3.6163, 0.6911
1000586, 3.6161, 0.6911
1001093, 3.6161, 0.6911
1001600, 3.6160, 0.6912
1002107, 3.6159, 0.6912
1002614, 3.6158, 0.6912
1003122, 3.6156, 0.6912
1003629, 3.6155, 0.6912
1004136, 3.6154, 0.6913
1004643, 3.6153, 0.6913
1005150, 3.6152, 0.6913
1005657, 3.6151, 0.6913
1006164, 3.6149, 0.6913
1006671, 3.6149, 0.6914
1007178, 3.6147, 0.6914
1007685, 3.6145, 0.6914
1008192, 3.6144, 0.6914
1008699, 3.6142, 0.6915
1009206, 3.6141, 0.6915
1009713, 3.6139, 0.6915
1010220, 3.6137, 0.6916
1010727, 3.6137, 0.6916
1011234, 3.6135, 0.6916
1011741, 3.6134, 0.6917
1012248, 3.6133, 0.6917
1012755, 3.6132, 0.6917
1013262, 3.6131, 0.6917
1013769, 3.6130, 0.6917
1014282, 3.6128, 0.6918
1014790, 3.6127, 0.6918
1015297, 3.6125, 0.6918
1015804, 3.6124, 0.6918
1016311, 3.6122, 0.6919
1016818, 3.6122, 0.6919
1017325, 3.6120, 0.6919
1017832, 3.6119, 0.6919
1018339, 3.6118, 0.6919
1018846, 3.6116, 0.6920
1019353, 3.6115, 0.6920
1019865, 3.6113, 0.6920
1020373, 3.6113, 0.6920
1020880, 3.6111, 0.6921
1021387, 3.6109, 0.6921
1021894, 3.6107, 0.6921
1022401, 3.6107, 0.6922
1022908, 3.6105, 0.6922
1023415, 3.6104, 0.6922
1023922, 3.6103, 0.6922
1024440, 3.6101, 0.6923
1024947, 3.6101, 0.6923
1025454, 3.6099, 0.6923
1025961, 3.6097, 0.6923
1026468, 3.6096, 0.6923
1026975, 3.6095, 0.6924
1027482, 3.6094, 0.6924
1027989, 3.6092, 0.6924
1028496, 3.6090, 0.6925
1029003, 3.6089, 0.6925
1029510, 3.6087, 0.6925
1030017, 3.6085, 0.6926
1030524, 3.6083, 0.6926
1031032, 3.6081, 0.6926
1031540, 3.6080, 0.6927
1032047, 3.6079, 0.6927
1032554, 3.6077, 0.6927
1033061, 3.6076, 0.6927
1033568, 3.6075, 0.6928
1034075, 3.6073, 0.6928
1034581, 3.6071, 0.6928
1035089, 3.6070, 0.6929
1035596, 3.6068, 0.6929
1036103, 3.6067, 0.6929
1036614, 3.6066, 0.6929
1037122, 3.6065, 0.6930
1037628, 3.6064, 0.6930
1038137, 3.6062, 0.6930
1038644, 3.6061, 0.6930
1039151, 3.6060, 0.6931
1039658, 3.6058, 0.6931
1040165, 3.6057, 0.6931
1040672, 3.6056, 0.6931
1041179, 3.6054, 0.6932
1041686, 3.6054, 0.6932
1042197, 3.6052, 0.6932
1042704, 3.6051, 0.6932
1043211, 3.6050, 0.6933
1043718, 3.6048, 0.6933
1044225, 3.6048, 0.6933
1044732, 3.6048, 0.6933
1045239, 3.6046, 0.6933
1045746, 3.6045, 0.6934
1046253, 3.6044, 0.6934
1046760, 3.6042, 0.6934
1047267, 3.6042, 0.6934
